StudentID,AcademicYear,Semester,CourseCode,CourseID,CourseName
1,111,1,3903446,304929,循環經濟之建築設計
1,111,1,6504109,309210,光電系統設計
1,111,1,3902015,304924,建築環境控制系統(一)
2,111,1,AA01003,309737,國際觀培養:韓文(一)
2,111,1,5403512,304982,韓文(三)
2,111,1,AAA0022,310272,職涯能力培訓課程
2,111,1,1418004,309994,創業與財務概論
2,111,1,1400523,309704,語文測驗(四)
2,111,1,3114703,303749,實務專題(二)
3,111,1,3604056,304052,人工智慧
3,111,1,3102082,305196,工程數學(一)
3,111,1,3103037,304566,電力電子學
3,111,1,3103016,304543,電機機械(一)
3,111,1,3103034,304564,數位系統
3,111,1,3102093,304560,微處理機實習
3,111,1,3104092,303756,控制系統實習
3,111,1,3114703,303779,實務專題(二)
4,111,1,3102103,305187,太空科技應用
5,111,1,3105148,306202,高等電腦視覺
5,111,1,3102093,304560,微處理機實習
5,111,1,3103034,304564,數位系統
5,111,1,3104092,303816,控制系統實習
5,111,1,1416004,309982,生命科學概論
6,111,1,3103011,304580,電力系統(一)
7,111,1,1400029,314952,校外實習
8,111,1,1400520,309693,語文測驗(一)
9,111,1,3602012,305329,電路學(一)
10,111,1,1401032,305990,微積分
11,111,1,3201002,305762,化學
11,111,1,3301022,305749,材料科學導論
11,111,1,1414001,310084,憲法與人權
12,111,1,5902206,305015,資料庫系統
12,111,1,5903203,305016,計算機網路
12,111,1,5902201,305479,資料結構
12,111,1,5901207,305992,數位邏輯設計
12,111,1,3102103,305187,太空科技應用
12,111,1,5901205,305477,線性代數
12,111,1,5901206,305478,物件導向程式設計
12,111,1,1418005,310229,新創事業與專利
12,111,1,5901202,305991,計算機概論
13,111,1,5905176,308855,電腦動畫
13,111,1,AB02009,305085,商事法
13,111,1,3602054,305330,微算機原理及應用實習
13,111,1,3603005,304802,通訊系統實習
13,111,1,3722008,305378,電商多媒體設計實務
13,111,1,3102082,305170,工程數學(一)
14,111,1,5904202,304272,實務專題(三)
15,111,1,3103037,304566,電力電子學
15,111,1,3723058,305367,雲端應用程式開發與應用
15,111,1,3703065,305365,資料庫管理
16,111,1,3104097,314951,學期校外實習
17,111,1,3102097,305185,機率
17,111,1,3101082,305194,電路學(一)
17,111,1,3103011,304542,電力系統(一)
18,111,1,3102091,305171,電子學實習(一)
18,111,1,AB01026,310176,金融常識與職業道德
18,111,1,3102081,305182,電子學(一)
18,111,1,3102104,305175,計算機網路
18,111,1,1401036,305774,微積分及演習
18,111,1,3002011,305157,工程數學(一)
18,111,1,3103011,304580,電力系統(一)
18,111,1,3103064,304578,訊號與系統
19,111,1,1400520,309700,語文測驗(一)
20,111,1,3114703,303779,實務專題(二)
20,111,1,3102081,305182,電子學(一)
20,111,1,3102093,304560,微處理機實習
20,111,1,3101082,305181,電路學(一)
20,111,1,3101098,305674,程式設計與實習
21,111,1,3103037,304547,電力電子學
21,111,1,1001002,309644,體育
21,111,1,3102082,305170,工程數學(一)
21,111,1,3104092,303816,控制系統實習
21,111,1,AB02008,305569,投資學
21,111,1,1418004,309984,創業與財務概論
22,111,1,3102082,305170,工程數學(一)
22,111,1,3103011,304580,電力系統(一)
23,111,1,1418001,309957,創新與創業
23,111,1,1401039,305687,微積分及演練
23,111,1,3102082,305170,工程數學(一)
24,111,1,1416004,309976,生命科學概論
24,111,1,AB01026,310176,金融常識與職業道德
24,111,1,3102082,305183,工程數學(一)
24,111,1,1411002,309979,文學概論
24,111,1,1401041,305688,物理
24,111,1,3103064,304540,訊號與系統
24,111,1,3102097,305198,機率
25,111,1,3602012,305329,電路學(一)
25,111,1,3601058,314960,實務校外實習(一)
26,111,1,3603005,304832,通訊系統實習
26,111,1,3604052,304050,計算機網路
26,111,1,6504591,309436,生醫光電儀器學
26,111,1,3601058,314960,實務校外實習(一)
26,111,1,1412018,309972,台灣歷史與文化
26,111,1,6504581,309502,光纖感測
27,111,1,3602012,305329,電路學(一)
27,111,1,3603051,305331,離散數學
27,111,1,3601010,305332,通訊工程導論
27,111,1,3604122,309298,人體解剖學及生理學
27,111,1,3602001,305326,工程數學(一)
27,111,1,3604056,304052,人工智慧
27,111,1,3604106,304071,半導體元件概論
27,111,1,1401041,305828,物理
28,111,1,3604075,304057,無線通訊概論
28,111,1,3602012,305329,電路學(一)
28,111,1,1410175,310083,婚姻與家庭
28,111,1,3603005,304802,通訊系統實習
28,111,1,3602007,305327,電子學(一)
28,111,1,3602061,304807,計算機結構
28,111,1,1410106,310077,媒體與社會
29,111,1,3601058,314960,實務校外實習(一)
30,111,1,1400102,305825,大學入門與工程倫理
30,111,1,1411002,309979,文學概論
30,111,1,3101082,305194,電路學(一)
30,111,1,3602001,305524,工程數學(一)
30,111,1,3302034,308772,電工原理
30,111,1,AB01026,310176,金融常識與職業道德
30,111,1,1410145,309973,智慧財產權
30,111,1,AA04001,309743,國際觀培養:印尼文化與語言
31,111,1,0460003,308858,教育服務學習
31,111,1,1400102,305845,大學入門與工程倫理
31,111,1,0463038,308868,電機與電子群教材教法
31,111,1,0462102,308862,課程設計與教學
31,111,1,3603068,304812,電磁波
32,111,1,3102082,305170,工程數學(一)
32,111,1,1400029,310394,校外實習
32,111,1,AB03004,309554,電子商務
32,111,1,3114703,303809,實務專題(二)
32,111,1,5703110,309794,創業講座—創業是一場馬拉松
33,111,1,AC03001,305101,使用者經驗
33,111,1,AC11001,306129,故事板與角色設計
34,111,1,3804002,305385,行銷學
34,111,1,3812001,305386,產品設計
34,111,1,3842009,309061,速寫（一）
34,111,1,3832018,305392,設計表現技法(二)
34,111,1,3812002,305387,製造程序
34,111,1,C300001,308978,設計實作
34,111,1,3833025,308981,數位表現技法(一)
35,111,1,5901206,305478,物件導向程式設計
35,111,1,5902301,308846,數據通訊系統概論
35,111,1,5901202,305991,計算機概論
35,111,1,5901212,305994,物理
35,111,1,5901205,305477,線性代數
35,111,1,5901207,305992,數位邏輯設計
35,111,1,5904202,304272,實務專題(三)
36,111,1,5901212,305994,物理
36,111,1,5904202,304272,實務專題(三)
36,111,1,5901205,305477,線性代數
36,111,1,5901209,305993,計算機程式設計(一)
36,111,1,5901207,305992,數位邏輯設計
36,111,1,1411002,309979,文學概論
36,111,1,5901206,305478,物件導向程式設計
36,111,1,5904136,309071,網路安全
36,111,1,5902301,308846,數據通訊系統概論
37,111,1,5902301,308846,數據通訊系統概論
38,111,1,1001002,309607,體育
39,111,1,5901209,305993,計算機程式設計(一)
39,111,1,5901212,305994,物理
39,111,1,5901206,305478,物件導向程式設計
39,111,1,5904346,314949,校外實務實習(一)
39,111,1,5901205,305477,線性代數
39,111,1,1401036,309088,微積分及演習
39,111,1,5901207,305992,數位邏輯設計
40,111,1,5903210,305018,專題討論
40,111,1,5902201,305479,資料結構
40,111,1,9100145,310057,行政法
40,111,1,5901206,305478,物件導向程式設計
40,111,1,5904136,309071,網路安全
40,111,1,5903203,305016,計算機網路
41,111,1,5902301,308846,數據通訊系統概論
41,111,1,9100145,310057,行政法
41,111,1,5904346,314949,校外實務實習(一)
41,111,1,5904347,309040,演算法分析與設計
41,111,1,5901206,305478,物件導向程式設計
41,111,1,5901209,305993,計算機程式設計(一)
42,111,1,6503003,305035,電子學(二)
42,111,1,3602007,305327,電子學(一)
43,111,1,6503002,305034,近代物理
44,111,1,1416021,310078,病毒學概論
44,111,1,1400029,314947,校外實習
45,111,1,1400038,307489,英文溝通與應用(一)
46,111,1,1410068,310020,人際關係
46,111,1,3104092,303786,控制系統實習
46,111,1,3102082,305183,工程數學(一)
46,111,1,3103064,304578,訊號與系統
46,111,1,3102081,305182,電子學(一)
46,111,1,3103011,304580,電力系統(一)
46,111,1,3101082,305181,電路學(一)
46,111,1,3114703,303779,實務專題(二)
47,111,1,1400505,309690,職場英文溝通
48,111,1,5904346,314949,校外實務實習(一)
49,111,1,1416004,309982,生命科學概論
49,111,1,1400505,309690,職場英文溝通
50,111,1,AB02008,305569,投資學
51,111,1,3603054,309306,線性代數
51,111,1,3602050,309328,資料結構
51,111,1,3203105,310475,奈米材料與科技
52,111,1,3104130,308806,機器學習基礎
52,111,1,3104092,303756,控制系統實習
52,111,1,3114703,303749,實務專題(二)
52,111,1,3104104,308809,機器人與自動化應用
52,111,1,AB03004,309554,電子商務
53,111,1,1412019,310089,歷史名著選讀
53,111,1,1401041,305656,物理
53,111,1,1401039,305687,微積分及演練
53,111,1,AB01026,310176,金融常識與職業道德
53,111,1,3104092,303786,控制系統實習
53,111,1,3114703,303749,實務專題(二)
54,111,1,3103064,304578,訊號與系統
54,111,1,3114703,303749,實務專題(二)
54,111,1,A501204,306099,網路與多媒體
54,111,1,1410088,309988,法學概論
54,111,1,3101098,305658,程式設計與實習
54,111,1,3102097,305198,機率
55,111,1,3804002,305385,行銷學
55,111,1,AB03045,305094,區塊鏈應用設計
55,111,1,3114703,303749,實務專題(二)
56,111,1,AB03016,305083,企業倫理
56,111,1,1001002,309612,體育
56,111,1,3312108,305257,製造程序
56,111,1,3102081,305182,電子學(一)
56,111,1,3114703,303749,實務專題(二)
56,111,1,3103064,304540,訊號與系統
56,111,1,3104092,303756,控制系統實習
56,111,1,1414003,310085,資訊法律
56,111,1,3102097,305185,機率
57,111,1,1415012,310119,媒體、企業與政治
57,111,1,AA01011,309740,國際觀培養:德文(一)
57,111,1,3104104,308809,機器人與自動化應用
57,111,1,3114703,303749,實務專題(二)
58,111,1,3104092,303786,控制系統實習
58,111,1,3105006,309793,電子電路分析與設計
58,111,1,3114703,303749,實務專題(二)
58,111,1,AB03004,309554,電子商務
59,111,1,3114703,303749,實務專題(二)
59,111,1,AB02008,305569,投資學
59,111,1,3104092,303786,控制系統實習
59,111,1,3105087,308805,高等類比積體電路設計
60,111,1,1410087,310076,時間學
60,111,1,3114703,303749,實務專題(二)
60,111,1,1410081,309970,藝術概論
60,111,1,AB03004,309554,電子商務
61,111,1,1410081,309970,藝術概論
61,111,1,3114703,303749,實務專題(二)
61,111,1,AB02008,305569,投資學
61,111,1,1412021,309961,臺灣近現代戰爭史
62,111,1,3114703,303749,實務專題(二)
62,111,1,3104104,308809,機器人與自動化應用
62,111,1,3104092,303756,控制系統實習
62,111,1,1400521,309702,語文測驗(二)
62,111,1,1416020,310022,都市化與自然生態
62,111,1,3104011,303752,配電工程
63,111,1,3103011,304542,電力系統(一)
63,111,1,3104092,303816,控制系統實習
63,111,1,3103081,304551,電磁學
63,111,1,3102097,305185,機率
63,111,1,3114703,303749,實務專題(二)
64,111,1,3104130,308806,機器學習基礎
64,111,1,3114703,303749,實務專題(二)
64,111,1,9100149,310058,民法債編
64,111,1,3104092,303756,控制系統實習
64,111,1,AB03004,309554,電子商務
64,111,1,1412021,309961,臺灣近現代戰爭史
64,111,1,1400520,309701,語文測驗(一)
64,111,1,1400521,309702,語文測驗(二)
65,111,1,9100149,310058,民法債編
65,111,1,3104092,303756,控制系統實習
65,111,1,3104130,308806,機器學習基礎
65,111,1,AB02008,305569,投資學
65,111,1,3114703,303749,實務專題(二)
66,111,1,3114703,303749,實務專題(二)
66,111,1,AA04028,309749,國際觀培養:越南文化與語言(一)
66,111,1,AB03004,309554,電子商務
66,111,1,3104092,303756,控制系統實習
66,111,1,3103034,304564,數位系統
66,111,1,AB02023,305575,商用程式設計
67,111,1,AB03004,309554,電子商務
67,111,1,3104092,303756,控制系統實習
67,111,1,3105118,308800,永磁同步電動機之理論與控制
67,111,1,3114703,303749,實務專題(二)
68,111,1,1414003,310085,資訊法律
68,111,1,1412015,309999,台灣物質史
68,111,1,AB03004,309554,電子商務
68,111,1,3114703,303749,實務專題(二)
68,111,1,5703110,309794,創業講座—創業是一場馬拉松
69,111,1,1401039,305687,微積分及演練
69,111,1,3114703,303749,實務專題(二)
69,111,1,AB03004,309554,電子商務
69,111,1,9100149,310058,民法債編
69,111,1,3104092,303756,控制系統實習
70,111,1,1400521,309702,語文測驗(二)
70,111,1,9100149,310058,民法債編
70,111,1,3114703,303749,實務專題(二)
70,111,1,AB03004,309554,電子商務
71,111,1,3114703,303749,實務專題(二)
71,111,1,9100149,310058,民法債編
71,111,1,1400520,309700,語文測驗(一)
71,111,1,3104104,308809,機器人與自動化應用
72,111,1,3114703,303749,實務專題(二)
72,111,1,3104092,303786,控制系統實習
72,111,1,3604106,304071,半導體元件概論
72,111,1,AB03004,309554,電子商務
73,111,1,3104092,303816,控制系統實習
73,111,1,3703065,305365,資料庫管理
73,111,1,3104104,308809,機器人與自動化應用
73,111,1,3114703,303749,實務專題(二)
73,111,1,3002815,309433,資訊安全
73,111,1,3004130,308938,鐵道號誌與行車控制系統
74,111,1,3114703,303749,實務專題(二)
74,111,1,AB02008,305569,投資學
74,111,1,1415013,310003,攝影與社會
74,111,1,3104092,303786,控制系統實習
74,111,1,3801079,305903,攝影學
74,111,1,1401041,305672,物理
75,111,1,3713026,309296,智慧營運管理
75,111,1,3104130,308806,機器學習基礎
75,111,1,3114703,303749,實務專題(二)
75,111,1,3104104,308809,機器人與自動化應用
75,111,1,1400520,309697,語文測驗(一)
75,111,1,3722008,309294,電商多媒體設計實務
76,111,1,1410087,310076,時間學
76,111,1,1412021,309961,臺灣近現代戰爭史
76,111,1,AB02008,305569,投資學
76,111,1,3114703,303749,實務專題(二)
77,111,1,AB03004,309554,電子商務
77,111,1,3105087,308805,高等類比積體電路設計
77,111,1,3104092,303756,控制系統實習
77,111,1,3114703,303749,實務專題(二)
78,111,1,3104104,308809,機器人與自動化應用
78,111,1,3114703,303749,實務專題(二)
78,111,1,3603009,304804,實務專題(一)
78,111,1,3104130,308806,機器學習基礎
78,111,1,3603051,305331,離散數學
78,111,1,5902201,305479,資料結構
78,111,1,AB03004,309554,電子商務
78,111,1,AB02023,305575,商用程式設計
78,111,1,1416004,309976,生命科學概論
79,111,1,3104092,303756,控制系統實習
79,111,1,AB01026,310176,金融常識與職業道德
79,111,1,AB02004,305568,管理學
79,111,1,AB02023,305575,商用程式設計
79,111,1,1412019,310089,歷史名著選讀
79,111,1,3114703,303749,實務專題(二)
