,修課學年,修課學期,學號_id,姓名_id,學院名稱,系所名稱,班級名稱,授課班級碼,授課班級,課號,課程編碼,課程名稱,教師員編,授課教師,課程類別,必選修別,學分數,選課狀況
42,111,1,5.0,15.0,電資學院,電機工程系,電機四丙,2842,人工智慧學位學程,306202,3105148,高等電腦視覺,11551,黃正民,★,選,3.0,撤選
43,111,1,5.0,15.0,電資學院,電機工程系,電機四丙,2809,電機所,306202,3105148,高等電腦視覺,11551,黃正民,★,選,3.0,撤選
44,111,1,5.0,15.0,電資學院,電機工程系,電機四丙,2530,電機三乙,304560,3102093,微處理機實習,11215,黃明熙,★,選,1.0,
45,111,1,5.0,15.0,電資學院,電機工程系,電機四丙,2530,電機三乙,304564,3103034,數位系統,12356,劉俊麟,★,選,3.0,
46,111,1,5.0,15.0,電資學院,電機工程系,電機四丙,2414,電機四丙,303816,3104092,控制系統實習,22963,龍仁光,★,選,1.0,
47,111,1,5.0,15.0,電資學院,電機工程系,電機四丙,2647,博雅課程(二),309982,1416004,生命科學概論,23992,李立緯,△,必,2.0,
48,111,1,6.0,50.0,電資學院,電機工程系,電機四丙,2531,電機三丙,304580,3103011,電力系統(一),10505,張朝陽,★,選,3.0,
49,111,1,7.0,591.0,電資學院,電機工程系,電機四丙,2412,電機四甲,314952,1400029,校外實習,,,△,必,2.0,
50,111,1,8.0,434.0,電資學院,電子工程系,電子四甲,2038,專業職場英文銜接計畫,309693,1400520,語文測驗(一),12005,王伯雅,☆,選,2.0,撤選
51,111,1,9.0,970.0,電資學院,電子工程系,電子四甲,2666,電子二甲,305329,3602012,電路學(一),11678,陳晏笙,▲,必,3.0,
52,111,1,10.0,1500.0,電資學院,資訊工程系,資工四,2798,資工一,305990,1401032,微積分,11892,蔡明誠,▲,必,3.0,
53,111,1,11.0,347.0,電資學院,資訊工程系,資工四,2783,材資一甲,305749,3301022,材料科學導論,10602,徐永富,▲,必,3.0,
54,111,1,11.0,347.0,電資學院,資訊工程系,資工四,2884,博雅課程(十一),310084,1414001,憲法與人權,23688,簡啟煜,△,必,2.0,
55,111,1,11.0,347.0,電資學院,資訊工程系,資工四,2784,材資一乙,305762,3201002,化學,10871,陳志恆,▲,必,2.0,
56,111,1,12.0,1084.0,電資學院,資訊工程系,資工四,2550,資工三,305015,5902206,資料庫系統,11106,劉建宏,▲,必,3.0,
57,111,1,12.0,1084.0,電資學院,資訊工程系,資工四,2657,電機二丙,305187,3102103,太空科技應用,12303,張致遠,★,選,2.0,
58,111,1,12.0,1084.0,電資學院,資訊工程系,資工四,2550,資工三,305016,5903203,計算機網路,10772,吳和庭,▲,必,3.0,
59,111,1,12.0,1084.0,電資學院,資訊工程系,資工四,2676,資工二,305479,5902201,資料結構,11107,劉傳銘,▲,必,3.0,
60,111,1,12.0,1084.0,電資學院,資訊工程系,資工四,2655,電機二甲,305187,3102103,太空科技應用,12303,張致遠,★,選,2.0,
61,111,1,12.0,1084.0,電資學院,資訊工程系,資工四,2798,資工一,305992,5901207,數位邏輯設計,10665,尤信程,▲,必,3.0,
62,111,1,12.0,1084.0,電資學院,資訊工程系,資工四,2656,電機二乙,305187,3102103,太空科技應用,12303,張致遠,★,選,2.0,
63,111,1,12.0,1084.0,電資學院,資訊工程系,資工四,2676,資工二,305477,5901205,線性代數,10709,楊士萱,▲,必,3.0,
64,111,1,12.0,1084.0,電資學院,資訊工程系,資工四,2676,資工二,305478,5901206,物件導向程式設計,12238,陳碩漢,▲,必,3.0,
65,111,1,12.0,1084.0,電資學院,資訊工程系,資工四,2764,博雅課程(八),310229,1418005,新創事業與專利,11609,郭宏杉,△,必,2.0,
66,111,1,12.0,1084.0,電資學院,資訊工程系,資工四,2798,資工一,305991,5901202,計算機概論,11634,江佩穎,▲,必,3.0,
67,111,1,13.0,976.0,電資學院,電資學士班,電資四,2668,工管二甲,305378,3722008,電商多媒體設計實務,10418,張文華,★,選,3.0,撤選
68,111,1,13.0,976.0,電資學院,電資學士班,電資四,2540,電子三甲,304802,3603005,通訊系統實習,10551,曾德樟,▲,必,1.0,
69,111,1,13.0,976.0,電資學院,電資學士班,電資四,2655,電機二甲,305170,3102082,工程數學(一),10940,曾傳蘆,▲,必,3.0,撤選
70,111,1,13.0,976.0,電資學院,電資學士班,電資四,2823,資工所,308855,5905176,電腦動畫,11324,謝東儒,★,選,3.0,
71,111,1,13.0,976.0,電資學院,電資學士班,電資四,2666,電子二甲,305330,3602054,微算機原理及應用實習,11070,李仁貴,▲,必,1.0,
72,111,1,13.0,976.0,電資學院,電資學士班,電資四,2558,資財三甲,305085,AB02009,商事法,24177,朱立偉,★,選,3.0,撤選
73,111,1,14.0,1041.0,電資學院,電資學士班,電資四,2433,資工四,304272,5904202,實務專題(三),11324,謝東儒,▲,必,2.0,
74,111,1,14.0,1041.0,電資學院,電資學士班,電資四,2433,資工四,304272,5904202,實務專題(三),11106,劉建宏,▲,必,2.0,
75,111,1,14.0,1041.0,電資學院,電資學士班,電資四,2433,資工四,304272,5904202,實務專題(三),11297,王正豪,▲,必,2.0,
76,111,1,14.0,1041.0,電資學院,電資學士班,電資四,2433,資工四,304272,5904202,實務專題(三),12384,張世豪,▲,必,2.0,
77,111,1,14.0,1041.0,電資學院,電資學士班,電資四,2433,資工四,304272,5904202,實務專題(三),12095,白敦文,▲,必,2.0,
78,111,1,14.0,1041.0,電資學院,電資學士班,電資四,2433,資工四,304272,5904202,實務專題(三),11247,郭忠義,▲,必,2.0,
79,111,1,14.0,1041.0,電資學院,電資學士班,電資四,2433,資工四,304272,5904202,實務專題(三),11107,劉傳銘,▲,必,2.0,
80,111,1,15.0,977.0,電資學院,電資學士班,電資四,2668,工管二甲,305367,3723058,雲端應用程式開發與應用,11764,鄭辰仰,★,選,3.0,
81,111,1,15.0,977.0,電資學院,電資學士班,電資四,2530,電機三乙,304566,3103037,電力電子學,11214,歐勝源,★,選,3.0,
82,111,1,15.0,977.0,電資學院,電資學士班,電資四,2669,工管二乙,305367,3723058,雲端應用程式開發與應用,11764,鄭辰仰,★,選,3.0,
83,111,1,15.0,977.0,電資學院,電資學士班,電資四,2668,工管二甲,305365,3703065,資料庫管理,10431,林志平,★,選,3.0,
84,111,1,16.0,990.0,電資學院,電機工程系,電機四甲,2412,電機四甲,314951,3104097,學期校外實習,,,★,選,9.0,
85,111,1,17.0,149.0,電資學院,電機工程系,電機四甲,2657,電機二丙,305194,3101082,電路學(一),10940,曾傳蘆,▲,必,3.0,
86,111,1,17.0,149.0,電資學院,電機工程系,電機四甲,2656,電機二乙,305185,3102097,機率,11439,張正春,▲,必,3.0,
87,111,1,17.0,149.0,電資學院,電機工程系,電機四甲,2529,電機三甲,304542,3103011,電力系統(一),10505,張朝陽,★,選,3.0,
88,111,1,18.0,828.0,電資學院,電機工程系,電機四乙,2531,電機三丙,304578,3103064,訊號與系統,10661,呂振森,▲,必,3.0,
89,111,1,18.0,828.0,電資學院,電機工程系,電機四乙,2531,電機三丙,304580,3103011,電力系統(一),10505,張朝陽,★,選,3.0,
90,111,1,18.0,828.0,電資學院,電機工程系,電機四乙,2785,土木一甲,305774,1401036,微積分及演習,11474,林建洲,▲,必,3.0,
91,111,1,18.0,828.0,電資學院,電機工程系,電機四乙,2654,機械二乙,305157,3002011,工程數學(一),12280,陳盈君,▲,必,3.0,
92,111,1,18.0,828.0,電資學院,電機工程系,電機四乙,2656,電機二乙,305182,3102081,電子學(一),10499,于治平,▲,必,3.0,
93,111,1,18.0,828.0,電資學院,電機工程系,電機四乙,2655,電機二甲,305175,3102104,計算機網路,11008,王永鐘,★,選,3.0,
94,111,1,18.0,828.0,電資學院,電機工程系,電機四乙,2655,電機二甲,305171,3102091,電子學實習(一),22211,王振興,▲,必,1.0,撤選
95,111,1,18.0,828.0,電資學院,電機工程系,電機四乙,2805,資財一甲,310176,AB01026,金融常識與職業道德,24473,楊士奇,★,選,3.0,
96,111,1,19.0,409.0,電資學院,電機工程系,電機四乙,2038,專業職場英文銜接計畫,309700,1400520,語文測驗(一),12092,袁慧君,☆,選,2.0,
97,111,1,20.0,1232.0,電資學院,電機工程系,電機四乙,2413,電機四乙,303779,3114703,實務專題(二),10473,曾國雄,▲,必,2.0,
98,111,1,20.0,1232.0,電資學院,電機工程系,電機四乙,2656,電機二乙,305181,3101082,電路學(一),11162,胡國英,▲,必,3.0,
99,111,1,20.0,1232.0,電資學院,電機工程系,電機四乙,2413,電機四乙,303779,3114703,實務專題(二),11438,李俊賢,▲,必,2.0,
100,111,1,20.0,1232.0,電資學院,電機工程系,電機四乙,2778,電機一乙,305674,3101098,程式設計與實習,10333,柯明仁,▲,必,3.0,
101,111,1,20.0,1232.0,電資學院,電機工程系,電機四乙,2656,電機二乙,305182,3102081,電子學(一),10499,于治平,▲,必,3.0,
102,111,1,20.0,1232.0,電資學院,電機工程系,電機四乙,2413,電機四乙,303779,3114703,實務專題(二),11009,宋國明,▲,必,2.0,
103,111,1,20.0,1232.0,電資學院,電機工程系,電機四乙,2413,電機四乙,303779,3114703,實務專題(二),12083,林鈞陶,▲,必,2.0,
104,111,1,20.0,1232.0,電資學院,電機工程系,電機四乙,2530,電機三乙,304560,3102093,微處理機實習,11215,黃明熙,★,選,1.0,
105,111,1,20.0,1232.0,電資學院,電機工程系,電機四乙,2413,電機四乙,303779,3114703,實務專題(二),10499,于治平,▲,必,2.0,
106,111,1,21.0,214.0,電資學院,電機工程系,電機四丙,2684,資財二甲,305569,AB02008,投資學,11403,林淑玲,▲,必,3.0,
107,111,1,21.0,214.0,電資學院,電機工程系,電機四丙,2644,體育專項(十五),309644,1001002,體育,10627,安振吉,△,必,0.0,
108,111,1,21.0,214.0,電資學院,電機工程系,電機四丙,2655,電機二甲,305170,3102082,工程數學(一),10940,曾傳蘆,▲,必,3.0,撤選
109,111,1,21.0,214.0,電資學院,電機工程系,電機四丙,2414,電機四丙,303816,3104092,控制系統實習,22963,龍仁光,★,選,1.0,
110,111,1,21.0,214.0,電資學院,電機工程系,電機四丙,2684,資財二甲,305569,AB02008,投資學,24176,吳聲昌,▲,必,3.0,
111,111,1,21.0,214.0,電資學院,電機工程系,電機四丙,2647,博雅課程(二),309984,1418004,創業與財務概論,23725,陳月平,△,必,2.0,
