CourseCode,CourseID,AcademicYear,Semester,CourseName,Period,Building,Classroom
3602008,305328,111,1,電子學實習(一),"四：3, 4, 5",第二教學大樓,二教302(e)
3602012,305329,111,1,電路學(一),"一：9　四：7, 8",第一教學大樓,一教301
3602054,305330,111,1,微算機原理及應用實習,"三：5, 6, 7",化學工程館,化工105
3603051,305331,111,1,離散數學,"三：1, 2　五：9",第二教學大樓,二教201(e)
3601010,305332,111,1,通訊工程導論,"五：5, 6, 7",第二教學大樓,二教103(e)
3602053,305333,111,1,微算機原理及應用,"二：8, 9, A",第三教學大樓,三教308(e)
3602056,305334,111,1,光電工程導論,"五：5, 6, 7",第二教學大樓,二教205(e)
3602001,305343,111,1,工程數學(一),"三：7　五：8, 9",第二教學大樓,二教103(e)
3602007,305344,111,1,電子學(一),"三：5, 6　五：3",第二教學大樓,二教103(e)
3602008,305345,111,1,電子學實習(一),"一：7, 8, 9",第二教學大樓,二教303(e)
3602012,305346,111,1,電路學(一),"一：4　四：3, 4",第二教學大樓,二教103(e)
3602054,305347,111,1,微算機原理及應用實習,"四：5, 6, 7",第三教學大樓,三教203(e)
3603051,305348,111,1,離散數學,"一：3　五：1, 2",第二教學大樓,二教103(e)
3602053,305350,111,1,微算機原理及應用,"二：5, 6, 7",第三教學大樓,三教208(e)
3702038,305361,111,1,統計學(一),"二：5, 6　三：5",第三教學大樓,三教502(e)
3703065,305365,111,1,資料庫管理,"一：1, 2, 3",第三教學大樓,三教303(e)
3723058,305367,111,1,雲端應用程式開發與應用,"四：2, 3, 4",第三教學大樓,三教403(e)
3703065,305377,111,1,資料庫管理,"一：5, 6, 7",第三教學大樓,三教309(e)
3722008,305378,111,1,電商多媒體設計實務,"三：8, 9, A",第三教學大樓,三教208(e)
3804002,305385,111,1,行銷學,"五：3, 4",第三教學大樓,三教209(e)
3812001,305386,111,1,產品設計,"一：5, 6, 7, 8　四：5, 6, 7, 8",第三教學大樓,三教507(e)
3812002,305387,111,1,製造程序,"四：3, 4",第三教學大樓,三教406(e)
3832018,305392,111,1,設計表現技法(二),"三：7, 8",第三教學大樓,三教409(e)
3902013,305417,111,1,建築構造學（二）,"二：1, 2",第二教學大樓,二教203(e)
3902019,305419,111,1,建築物理(一),"五：1, 2",億光大樓,億光0612
4402012,305429,111,1,材料力學,"三：3, 4　四：1",化學工程館,化工305
4402032,305432,111,1,電機學,"一：7　五：3, 4",第二教學大樓,二教304(e)
4403053,305433,111,1,工程數學(一),"一：5, 6　四：3",第三教學大樓,三教203(e)
4501505,305442,111,1,冷凍空調原理,"一：5　二：5, 6",第三教學大樓,三教505(e)
4501605,305443,111,1,工程圖學,"五：5, 6, 7",第三教學大樓,三教207(e)
4502101,305444,111,1,電子學(一),"三：3, 4　四：2",第三教學大樓,三教506(e)
4502608,305445,111,1,工程數學（一）,"一：2　三：7, 8",第三教學大樓,三教411(e)
4502907,305446,111,1,冷凍空調實習（一）,"五：2, 3, 4",第三教學大樓,三教211(e)
4502803,305447,111,1,電路學(二),"四：A, B, C",億光大樓,億光0612
5401103,305452,111,1,西洋文學導讀,"二：2　四：3, 4",第三教學大樓,三教201(e)
5402207,305455,111,1,應用語言學,"五：5, 6, 7",第三教學大樓,三教208(e)
5403507,305463,111,1,德文(一),"五：3, 4",第三教學大樓,三教302(e)
5702005,305469,111,1,行銷管理,"二：N　四：3, 4",第三教學大樓,三教407(e)
5703023,305470,111,1,組織行為,"一：2, 3　三：5",第三教學大樓,三教207(e)
5702003,305471,111,1,資料庫系統與應用,"一：8, 9, A",化學工程館,化工305
5901205,305477,111,1,線性代數,"三：1, 2　四：3",第二教學大樓,二教204(e)
5901206,305478,111,1,物件導向程式設計,"一：7　五：3, 4",第二教學大樓,二教206(e)
5902201,305479,111,1,資料結構,"一：3, 4　二：2",第二教學大樓,二教201(e)
5902207,305480,111,1,微算機系統,"一：9　二：5, 6",第二教學大樓,二教207(e)
5902313,305485,111,1,電路學(一),"一：8　二：7, 8",第二教學大樓,二教207(e)
6502001,305490,111,1,工程數學(一),"一：N　二：6, 7",第二教學大樓,二教201(e)
6502003,305491,111,1,電磁學,"一：8　四：6, 7",第二教學大樓,二教103(e)
6502006,305492,111,1,幾何光學,"三：5, 6　四：5",第二教學大樓,二教204(e)
6502012,305493,111,1,光電工程概論 (一),"三：1, 2　四：8",第二教學大樓,二教103(e)
6502109,305494,111,1,電路學(一),"二：5　三：7, 8",第二教學大樓,二教201(e)
3001017,305500,111,1,動力學,"一：1, 2　二：9",第三教學大樓,三教407(e)
3002010,305501,111,1,工程材料,"四：3, 4　五：7",第三教學大樓,三教401(e)
3002011,305502,111,1,工程數學(一),"二：8　三：5, 6",第三教學大樓,三教407(e)
3002012,305503,111,1,材料力學,"一：5　五：5, 6",第二教學大樓,二教204(e)
4401021,305504,111,1,電路學,"四：2　五：8, 9",第三教學大樓,三教207(e)
4401023,305505,111,1,電子學,"一：6, 7　三：3",第三教學大樓,三教411(e)
4501505,305509,111,1,冷凍空調原理,"三：A, B, C",第二教學大樓,二教204(e)
3102081,305522,111,1,電子學(一),"二：2　四：3, 4",第一教學大樓,一教302(e)
3102091,305523,111,1,電子學實習(一),"一：2, 3, 4",第一教學大樓,一教1F(e)
3602001,305524,111,1,工程數學(一),"三：8, 9　五：6",第三教學大樓,三教211(e)
3602002,305525,111,1,電路學(一),"一：8　二：7, 8",第一教學大樓,一教1F(e)
3603051,305526,111,1,離散數學,"一：1　五：3, 4",第一教學大樓,一教1F(e)
3103064,305530,111,1,訊號與系統,"一：7　二：5, 6",第一教學大樓,一教1F(e)
6503303,305538,111,1,電磁學(一),"一：9, A　二：1",第一教學大樓,一教1F(e)
A502246,305562,111,1,文化典藏管理,"一：5, 6",第三教學大樓,三教402(e)
AB02004,305568,111,1,管理學,"五：2, 3, 4",第三教學大樓,三教303(e)
AB02008,305569,111,1,投資學,"三：6, 7, 8",第三教學大樓,三教207(e)
AB02023,305575,111,1,商用程式設計,"一：8, 9, A",第二教學大樓,二教302(e)
AC02001,305580,111,1,人機介面設計,"五：2, 3, 4",第三教學大樓,三教306(e)
AC02512,305590,111,1,數位音樂與聲音設計,"一：2, 3, 4",第三教學大樓,三教306(e)
AT02007,305621,111,1,網頁版型程式設計,"二：5, 6, 7",第三教學大樓,三教408(e)
1101007,305623,111,1,全民國防教育,五：2,化學工程館,化工105
1400099,305625,111,1,服務學習,四：8,第三教學大樓,三教302(e)
1400102,305626,111,1,大學入門與工程倫理,"五：7, 8",第三教學大樓,三教302(e)
1404006,305627,111,1,國文,"三：3, 4",第三教學大樓,三教308(e)
1401032,305629,111,1,微積分,"二：7, 8, 9",第三教學大樓,三教207(e)
1401041,305630,111,1,物理,"四：2, 3, 4",第三教學大樓,三教409(e)
3001012,305631,111,1,機械製圖,"一：7, 8, 9",第三教學大樓,三教502(e)
3001014,305632,111,1,專業基礎實習(一),"一：2, 3, 4",第三教學大樓,三教307(e)
3001016,305633,111,1,計算機程式及實習,"三：5, 6, 7, 8",第三教學大樓,三教503(e)
1101007,305636,111,1,全民國防教育,三：8,第三教學大樓,三教206(e)
1404006,305640,111,1,國文,"三：3, 4",第三教學大樓,三教302(e)
1401032,305642,111,1,微積分,"一：7, 8　四：4",第三教學大樓,三教501(e)
1401041,305643,111,1,物理,"一：2, 3, 4",第三教學大樓,三教208(e)
1101007,305649,111,1,全民國防教育,二：8,第二教學大樓,二教103(e)
1400100,305651,111,1,勞作教育,二：9,第二教學大樓,二教103(e)
1400102,305652,111,1,大學入門與工程倫理,"五：7, 8",化學工程館,化工305
1404006,305653,111,1,國文,"五：1, 2",第一教學大樓,一教301
1401039,305655,111,1,微積分及演練,"一：3, 4　三：1, 2",第二教學大樓,二教205(e)
1401041,305656,111,1,物理,"一：5　四：3, 4",第二教學大樓,二教201(e)
1401043,305657,111,1,物理實驗,"一：6, 7, 8",第二教學大樓,二教204(e)
3101098,305658,111,1,程式設計與實習,"四：5, 6, 7",第二教學大樓,二教307(e)
3101099,305659,111,1,數位邏輯設計,"三：5　五：3, 4",第二教學大樓,二教201(e)
1101007,305665,111,1,全民國防教育,二：6,第二教學大樓,二教205(e)
1400100,305667,111,1,勞作教育,二：9,億光大樓,億光0612
1400102,305668,111,1,大學入門與工程倫理,"五：7, 8",第三教學大樓,三教206(e)
1404006,305669,111,1,國文,"五：1, 2",第二教學大樓,二教303(e)
1401039,305671,111,1,微積分及演練,"二：1, 2　三：1, 2",第二教學大樓,二教206(e)
1401041,305672,111,1,物理,"一：3, 4　四：3",第二教學大樓,二教202(e)
1401043,305673,111,1,物理實驗,"一：5, 6, 7",第三教學大樓,三教508(e)
3101098,305674,111,1,程式設計與實習,"四：5, 6, 7",化學工程館,化工205
3101099,305675,111,1,數位邏輯設計,"三：6, 7　四：4",第二教學大樓,二教207(e)
1101007,305681,111,1,全民國防教育,二：5,第二教學大樓,二教202(e)
1400100,305683,111,1,勞作教育,三：9,第二教學大樓,二教301(e)
1400102,305684,111,1,大學入門與工程倫理,"五：7, 8",第三教學大樓,三教209(e)
1404006,305685,111,1,國文,"五：1, 2",第一教學大樓,一教302(e)
1401039,305687,111,1,微積分及演練,"一：3, 4　三：3, 4",第一教學大樓,一教303(e)
1401041,305688,111,1,物理,"三：1, 2　五：3",第一教學大樓,一教303(e)
1401043,305689,111,1,物理實驗,"一：5, 6, 7",第三教學大樓,三教509(e)
3101098,305690,111,1,程式設計與實習,"三：5, 6, 7",第二教學大樓,二教301(e)
3101099,305691,111,1,數位邏輯設計,"三：8　四：5, 6",第二教學大樓,二教301(e)
1401032,305703,111,1,微積分,"一：5, 6　二：7",第三教學大樓,三教307(e)
3201019,305707,111,1,物理,"一：1　四：1, 2",第三教學大樓,三教302(e)
1404006,305715,111,1,國文,"四：7, 8",化學工程館,化工203
1401032,305717,111,1,微積分,"一：5, 6　二：7",第三教學大樓,三教406(e)
1404006,305729,111,1,國文,"四：7, 8",第二教學大樓,二教306(e)
1401032,305731,111,1,微積分,"一：5, 6　四：5",第三教學大樓,三教511(e)
3201019,305735,111,1,物理,"一：2　二：1, 2",第三教學大樓,三教109(e)
1400100,305741,111,1,勞作教育,一：9,第一教學大樓,一教302(e)
1404006,305743,111,1,國文,"四：3, 4",第三教學大樓,三教411(e)
1401032,305745,111,1,微積分,"三：7, 8　四：2",第三教學大樓,三教306(e)
3301022,305749,111,1,材料科學導論,"一：4　三：3, 4",第三教學大樓,三教507(e)
3301009,305751,111,1,計算機概論,"二：8, 9",第三教學大樓,三教306(e)
1101007,305754,111,1,全民國防教育,三：3,第二教學大樓,二教202(e)
